スキルカード名,分類,カードタイプ,プラン,消費対象,消費,メモリー,制限,レアリティ,PLv,備考
アピールの基本,Default,A アクティブ,F 共通,元気/体力,4,無し,－,N 白札,-,
ポーズの基本,Default,A アクティブ,F 共通,元気/体力,3,無し,－,N 白札,-,
挑戦,Default,A アクティブ,S センス,元気/体力,7,無し,レッスン/試験中1回,N 白札,-,
試行錯誤,Default,A アクティブ,S センス,元気/体力,7,無し,レッスン/試験中1回,N 白札,-,
可愛い仕草,Default,A アクティブ,L ロジック,元気/体力,5,無し,レッスン/試験中1回,N 白札,-,
気分転換,Default,A アクティブ,L ロジック,体力,5,無し,レッスン/試験中1回,N 白札,-,
表現の基本,Default,M メンタル,F 共通,元気/体力,0,開始時,レッスン/試験中1回,N 白札,-,
振る舞いの基本,Default,M メンタル,S センス,元気/体力,1,無し,－,N 白札,-,
表情の基本,Default,M メンタル,S センス,元気/体力,1,無し,－,N 白札,-,
目線の基本,Default,M メンタル,L ロジック,元気/体力,2,無し,－,N 白札,-,
意識の基本,Default,M メンタル,L ロジック,元気/体力,2,無し,－,N 白札,-,
眠気,Default,T トラブル,F 共通,元気/体力,0,無し,レッスン/試験中1回,N 白札,-,
軽い足取り,Default,A アクティブ,S センス,元気/体力,4,開始時,－,R 青札,-,
愛嬌,Default,A アクティブ,S センス,元気/体力,4,中間後,－,R 青札,-,
準備運動,Default,A アクティブ,S センス,元気/体力,4,開始時,－,R 青札,-,
ファンサ,Default,A アクティブ,S センス,元気/体力,2,中間後,－,R 青札,2,
ファンサ+,Default,A アクティブ,S センス,元気/体力,2,開始時,－,R 青札,2,
勢い任せ,Default,A アクティブ,S センス,元気/体力,4,開始時,－,R 青札,9,
勢い任せ+,Default,A アクティブ,S センス,元気/体力,4,開始時,－,R 青札,9,
ハイタッチ,Default,A アクティブ,S センス,元気/体力,4,－,レッスン/試験中1回,R 青札,13,
ハイタッチ+,Default,A アクティブ,S センス,元気/体力,4,開始時,レッスン/試験中1回,R 青札,13,
トークタイム,Default,A アクティブ,S センス,元気/体力,6,開始時,レッスン/試験中1回,R 青札,14,
トークタイム+,Default,A アクティブ,S センス,元気/体力,6,開始時,レッスン/試験中1回,R 青札,14,
今日もおはよう,Default,A アクティブ,L ロジック,元気/体力,4,開始時,－,R 青札,-,
今日もおはよう+,Default,A アクティブ,L ロジック,元気/体力,4,中間後,－,R 青札,-,
ゆるふわおしゃべり,Default,A アクティブ,L ロジック,体力,4,開始時,レッスン/試験中1回,R 青札,-,
ゆるふわおしゃべり+,Default,A アクティブ,L ロジック,体力,4,中間後,レッスン/試験中1回,R 青札,-,
もう少しだけ,Default,A アクティブ,L ロジック,元気/体力,5,－,－,R 青札,-,
手拍子,Default,A アクティブ,L ロジック,元気/体力,5,開始時,レッスン/試験中1回,R 青札,13,
手拍子+,Default,A アクティブ,L ロジック,元気/体力,5,開始時,レッスン/試験中1回,R 青札,13,
元気な挨拶,Default,A アクティブ,L ロジック,体力,4,開始時,レッスン/試験中1回,R 青札,14,
元気な挨拶+,Default,A アクティブ,L ロジック,体力,3,開始時,レッスン/試験中1回,R 青札,14,
気合十分！,Default,M メンタル,F 共通,元気/体力,0,開始時,－,R 青札,16,
ファーストステップ,Default,M メンタル,F 共通,元気/体力,0,開始時,レッスン/試験中1回 重複不可,R 青札,16,
ファーストステップ+,Default,M メンタル,F 共通,元気/体力,0,中間後,レッスン/試験中1回 重複不可,R 青札,16,
バランス感覚,Default,M メンタル,S センス,元気/体力,2,－,－,R 青札,-,
楽観的,Default,M メンタル,S センス,元気/体力,2,開始時,－,R 青札,4,
深呼吸,Default,M メンタル,S センス,元気/体力,3,開始時,－,R 青札,19,
深呼吸+,Default,M メンタル,S センス,元気/体力,3,中間後,－,R 青札,19,
リスタート,Default,M メンタル,L ロジック,元気/体力,4,開始時,－,R 青札,-,
リスタート+,Default,M メンタル,L ロジック,元気/体力,3,中間後,－,R 青札,-,
えいえいおー,Default,M メンタル,L ロジック,元気/体力,2,開始時,－,R 青札,-,
えいえいおー+,Default,M メンタル,L ロジック,元気/体力,2,中間後,－,R 青札,-,
リズミカル,Default,M メンタル,L ロジック,元気/体力,0,開始時,レッスン/試験中1回,R 青札,2,
リズミカル+,Default,M メンタル,L ロジック,元気/体力,0,中間後,レッスン/試験中1回,R 青札,2,
思い出し笑い,Default,M メンタル,L ロジック,元気/体力,2,開始時,－,R 青札,4,
思い出し笑い+,Default,M メンタル,L ロジック,元気/体力,2,開始時,－,R 青札,4,
パステル気分,Default,M メンタル,L ロジック,元気/体力,3,開始時,－,R 青札,9,
励まし,Default,M メンタル,L ロジック,元気/体力,4,開始時,－,R 青札,19,
新進気鋭,Idle,A アクティブ,S センス,元気/体力,5,無し,レッスン/試験中1回 重複不可,R 青札,-,R [学園生活] 花海咲季 固有スキル
意地っ張り,Idle,A アクティブ,S センス,元気/体力,6,無し,レッスン/試験中1回 重複不可,R 青札,-,R [学園生活] 月村手毬 固有スキル
リトル・プリンス,Idle,A アクティブ,S センス,元気/体力,3,無し,レッスン/試験中1回 重複不可,R 青札,-,R [学園生活] 有村麻央 固有スキル
包容力,Idle,A アクティブ,S センス,元気/体力,0,無し,レッスン/試験中1回 重複不可,R 青札,-,R [学園生活] 姫崎莉波 固有スキル
フレンドリー,Idle,A アクティブ,S センス,元気/体力,6,無し,レッスン/試験中1回 重複不可,R 青札,-,R [学園生活] 紫雲清夏 固有スキル
アルバイター,Idle,A アクティブ,L ロジック,元気/体力,6,無し,レッスン/試験中1回 重複不可,R 青札,-,R [学園生活] 藤田ことね 固有スキル
超高学歴アイドル,Idle,M メンタル,L ロジック,元気/体力,0,無し,レッスン/試験中1回 重複不可,R 青札,-,R [学園生活] 篠澤広 固有スキル
内気系少女,Idle,M メンタル,L ロジック,元気/体力,3,無し,レッスン/試験中1回 重複不可,R 青札,-,R [学園生活] 葛城リーリヤ 固有スキル
元気いっぱい,Idle,A アクティブ,L ロジック,体力,4,無し,レッスン/試験中1回 重複不可,R 青札,-,R [学園生活] 倉本千奈 固有スキル
未完の大器,Idle,M メンタル,L ロジック,体力,3,無し,レッスン/試験中1回 重複不可,R 青札,-,R [学園生活] 花見佑芽 固有スキル
前途洋々,Default,A アクティブ,F 共通,元気/体力,4,－,－,SR 金札,3,
決めポーズ,Default,A アクティブ,S センス,元気/体力,3,中間後,レッスン/試験中1回,SR 金札,-,
アドリブ,Default,A アクティブ,S センス,元気/体力,4,中間後,－,SR 金札,-,
アドリブ+,Default,A アクティブ,S センス,元気/体力,4,中間後,－,SR 金札,-,
情熱ターン,Default,A アクティブ,S センス,元気/体力,6,中間後,－,SR 金札,-,
情熱ターン+,Default,A アクティブ,S センス,元気/体力,6,中間後,－,SR 金札,-,
飛躍,Default,A アクティブ,S センス,元気/体力,5,中間後,レッスン/試験中1回,SR 金札,6,
飛躍+,Default,A アクティブ,S センス,元気/体力,2,中間後,レッスン/試験中1回,SR 金札,6,
祝福,Default,A アクティブ,S センス,体力,4,－,レッスン/試験中1回,SR 金札,7,
祝福+,Default,A アクティブ,S センス,体力,4,中間後,レッスン/試験中1回,SR 金札,7,
スタートダッシュ,Default,A アクティブ,S センス,元気/体力,5,中間後,重複不可,SR 金札,22,
スタートダッシュ+,Default,A アクティブ,S センス,元気/体力,5,中間後,重複不可,SR 金札,22,
スタンドプレー,Default,A アクティブ,S センス,元気/体力,5,中間後,重複不可,SR 金札,24,
スタンドプレー+,Default,A アクティブ,S センス,元気/体力,5,中間後,重複不可,SR 金札,24,
シュプレヒコール,Default,A アクティブ,S センス,集中,3,－,重複不可,SR 金札,33,
シュプレヒコール+,Default,A アクティブ,S センス,集中,2,中間後,重複不可,SR 金札,33,
ラブリーウインク,Default,A アクティブ,L ロジック,元気/体力,5,中間後,－,SR 金札,-,現在の好印象値×割合の小数点以下切り上げが手札に表示される。実際はこのスキルカードで増やした好印象も計算対象になる。
ラブリーウインク+,Default,A アクティブ,L ロジック,元気/体力,5,中間後,－,SR 金札,-,現在の好印象値×割合の小数点以下切り上げが手札に表示される。実際はこのスキルカードで増やした好印象も計算対象になる。
ありがとうの言葉,Default,A アクティブ,L ロジック,体力,3,中間後,レッスン/試験中1回,SR 金札,-,
ありがとうの言葉+,Default,A アクティブ,L ロジック,体力,3,中間後,レッスン/試験中1回,SR 金札,-,
ハートの合図,Default,A アクティブ,L ロジック,体力,3,中間後,レッスン/試験中1回,SR 金札,6,
ハートの合図+,Default,A アクティブ,L ロジック,体力,3,中間後,レッスン/試験中1回,SR 金札,6,
キラメキ,Default,A アクティブ,L ロジック,元気/体力,3,中間後,レッスン/試験中1回 重複不可,SR 金札,24,
キラメキ+,Default,A アクティブ,L ロジック,元気/体力,3,中間後,レッスン/試験中1回 重複不可,SR 金札,24,
みんな大好き,Default,A アクティブ,L ロジック,やる気,3,－,重複不可,SR 金札,34,
アイドル宣言,Default,M メンタル,F 共通,体力,1,中間後,レッスン/試験中1回 重複不可,SR 金札,23,
アイドル宣言+,Default,M メンタル,F 共通,元気/体力,0,中間後,レッスン/試験中1回 重複不可,SR 金札,23,
ハイテンション,Default,M メンタル,F 共通,元気/体力,0,－,レッスン/試験中1回,SR 金札,23,
眼力,Default,M メンタル,S センス,元気/体力,3,中間後,レッスン/試験中1回,SR 金札,-,
眼力+,Default,M メンタル,S センス,元気/体力,3,中間後,レッスン/試験中1回,SR 金札,-,
大声援,Default,M メンタル,S センス,元気/体力,3,中間後,レッスン/試験中1回,SR 金札,-,
大声援+,Default,M メンタル,S センス,元気/体力,3,中間後,レッスン/試験中1回,SR 金札,-,
演出計画,Default,M メンタル,S センス,元気/体力,4,中間後,レッスン/試験中1回 重複不可,SR 金札,17,
演出計画+,Default,M メンタル,S センス,元気/体力,3,中間後,レッスン/試験中1回 重複不可,SR 金札,17,
願いの力,Default,M メンタル,S センス,元気/体力,4,中間後,レッスン/試験中1回 重複不可,SR 金札,18,
願いの力+,Default,M メンタル,S センス,元気/体力,3,中間後,レッスン/試験中1回 重複不可,SR 金札,18,
静かな意志,Default,M メンタル,S センス,元気/体力,4,中間後,レッスン/試験中1回,SR 金札,20,レッスン開始時手札に入る
静かな意志+,Default,M メンタル,S センス,元気/体力,4,中間後,レッスン/試験中1回,SR 金札,20,レッスン開始時手札に入る
始まりの合図,Default,M メンタル,S センス,元気/体力,3,中間後,レッスン/試験中1回,SR 金札,28,
始まりの合図+,Default,M メンタル,S センス,元気/体力,3,中間後,レッスン/試験中1回,SR 金札,28,
意地,Default,M メンタル,S センス,元気/体力,2,－,レッスン/試験中1回,SR 金札,29,
存在感,Default,M メンタル,S センス,好調,2,－,重複不可,SR 金札,31,
存在感+,Default,M メンタル,S センス,好調,1,中間後,重複不可,SR 金札,31,
成功への道筋,Default,M メンタル,S センス,好調,2,－,レッスン/試験中1回,SR 金札,36,
あふれる思い出,Default,M メンタル,L ロジック,元気/体力,3,中間後,－,SR 金札,-,
あふれる思い出+,Default,M メンタル,L ロジック,元気/体力,3,中間後,－,SR 金札,-,
ふれあい,Default,M メンタル,L ロジック,元気/体力,5,中間後,－,SR 金札,-,
ふれあい+,Default,M メンタル,L ロジック,元気/体力,5,中間後,－,SR 金札,-,
幸せな時間,Default,M メンタル,L ロジック,元気/体力,5,中間後,－,SR 金札,7,
幸せな時間+,Default,M メンタル,L ロジック,元気/体力,5,中間後,－,SR 金札,7,
ファンシーチャーム,Default,M メンタル,L ロジック,元気/体力,4,－,レッスン/試験中1回 重複不可,SR 金札,17,
ファンシーチャーム+,Default,M メンタル,L ロジック,元気/体力,4,中間後,レッスン/試験中1回 重複不可,SR 金札,17,
ワクワクが止まらない,Default,M メンタル,L ロジック,元気/体力,3,中間後,レッスン/試験中1回 重複不可,SR 金札,18,
ワクワクが止まらない+,Default,M メンタル,L ロジック,元気/体力,3,中間後,レッスン/試験中1回 重複不可,SR 金札,18,
本番前夜,Default,M メンタル,L ロジック,元気/体力,5,中間後,レッスン/試験中1回,SR 金札,20,レッスン開始時手札に入る
本番前夜+,Default,M メンタル,L ロジック,元気/体力,5,中間後,レッスン/試験中1回,SR 金札,20,レッスン開始時手札に入る
ひなたぼっこ,Default,M メンタル,L ロジック,元気/体力,0,－,レッスン/試験中1回 重複不可,SR 金札,22,
ひなたぼっこ+,Default,M メンタル,L ロジック,元気/体力,0,中間後,レッスン/試験中1回 重複不可,SR 金札,22,
イメトレ,Default,M メンタル,L ロジック,元気/体力,4,中間後,レッスン/試験中1回,SR 金札,28,
イメトレ+,Default,M メンタル,L ロジック,元気/体力,4,中間後,レッスン/試験中1回,SR 金札,28,
やる気は満点,Default,M メンタル,L ロジック,元気/体力,1,－,レッスン/試験中1回,SR 金札,29,
やる気は満点+,Default,M メンタル,L ロジック,元気/体力,1,中間後,レッスン/試験中1回,SR 金札,29,
ゆめみごこち,Default,M メンタル,L ロジック,好印象,2,－,重複不可,SR 金札,32,
ゆめみごこち+,Default,M メンタル,L ロジック,好印象,1,中間後,重複不可,SR 金札,32,
一番は譲らない,Idle,A アクティブ,S センス,元気/体力,6,無し,レッスン/試験中1回 重複不可,SR 金札,-,SR [わたしが一番！] 花海咲季 固有スキル
ローン・ウルフ,Idle,A アクティブ,S センス,元気/体力,5,無し,レッスン/試験中1回 重複不可,SR 金札,-,SR [一匹狼] 月村手毬 固有スキル
らしさ,Idle,A アクティブ,S センス,元気/体力,0,無し,レッスン/試験中1回 重複不可,SR 金札,-,SR [はじまりはカッコよく] 有村麻央 固有スキル
寄り添う気持ち,Idle,M メンタル,S センス,元気/体力,6,無し,レッスン/試験中1回 重複不可,SR 金札,-,SR [『私らしさ』のはじまり] 姫崎莉波 固有スキル
勇気の一歩,Idle,A アクティブ,S センス,元気/体力,3,無し,レッスン/試験中1回 重複不可,SR 金札,-,SR [夢へのリスタート] 紫雲清夏 固有スキル
Colorful Cute!,Idle,M メンタル,L ロジック,元気/体力,4,無し,レッスン/試験中1回 重複不可,SR 金札,-,SR [カワイイ♡はじめました] 藤田ことね 固有スキル
苦しいのが好き,Idle,A アクティブ,L ロジック,元気/体力,4,無し,レッスン/試験中1回 重複不可,SR 金札,-,SR [一番向いてないこと] 篠澤広 固有スキル
純白の妖精,Idle,A アクティブ,L ロジック,元気/体力,3,無し,レッスン/試験中1回 重複不可,SR 金札,-,SR [一つ踏み出した先に] 葛城リーリヤ 固有スキル
いっしょけんめい,Idle,M メンタル,L ロジック,元気/体力,2,無し,レッスン/試験中1回 重複不可,SR 金札,-,SR [胸を張って一歩ずつ] 倉本千奈 固有スキル
打倒お姉ちゃん,Idle,A アクティブ,L ロジック,体力,4,無し,レッスン/試験中1回 重複不可,SR 金札,-,SR [アイドル、はじめっ！] 花海佑芽 固有スキル
お姉ちゃんだもの！,Support,A アクティブ,F 共通,元気/体力,3,無し,レッスン/試験中1回 重複不可,SR 金札,-,SR [体当たりのラブコール] 固有スキル
おアツイ視線,Support,M メンタル,F 共通,元気/体力,0,無し,レッスン/試験中1回 重複不可,SR 金札,-,SR [のらりくらりしっかり] 固有スキル
ご指導ご鞭撻,Support,A アクティブ,F 共通,元気/体力,5,無し,レッスン/試験中1回 重複不可,SR 金札,-,SR [てとりあしとり] 固有スキル
ストレッチ談義,Support,A アクティブ,F 共通,元気/体力,3,無し,レッスン/試験中1回 重複不可,SR 金札,-,SR [疑惑の大腿四頭筋] 固有スキル
全力サポート,Support,M メンタル,F 共通,元気/体力,2,無し,レッスン/試験中1回 重複不可,SR 金札,-,SR [はじめてのお友達] 固有スキル
キメ顔で自撮り,Support,M メンタル,S センス,元気/体力,4,無し,レッスン/試験中1回 重複不可,SR 金札,-,SR [パシャっとキメポ] 固有スキル
なに聴いてるの？,Support,A アクティブ,L ロジック,元気/体力,0,無し,レッスン/試験中1回 重複不可,SR 金札,-,SR [イヤホンはんぶんこ] 固有スキル
コール＆レスポンス,Default,A アクティブ,S センス,元気/体力,0,中間後,レッスン/試験中1回 重複不可,SSR 虹札,11,
コール＆レスポンス+,Default,A アクティブ,S センス,元気/体力,0,中間後,レッスン/試験中1回 重複不可,SSR 虹札,11,
バズワード,Default,A アクティブ,S センス,元気/体力,7,中間後,重複不可,SSR 虹札,12,
バズワード+,Default,A アクティブ,S センス,元気/体力,7,中間後,重複不可,SSR 虹札,12,
成就,Default,A アクティブ,S センス,元気/体力,10,－,レッスン/試験中1回 重複不可,SSR 虹札,41,
魅惑のパフォーマンス,Default,A アクティブ,S センス,元気/体力,8,－,レッスン/試験中1回 重複不可,SSR 虹札,43,
200%スマイル,Default,A アクティブ,L ロジック,元気/体力,6,中間後,レッスン/試験中1回 重複不可,SSR 虹札,11,現在の好印象値×割合の小数点以下切り上げが手札に表示される。実際はこのスキルカードで増やした好印象も計算対象になる。
200%スマイル+,Default,A アクティブ,L ロジック,元気/体力,6,中間後,レッスン/試験中1回 重複不可,SSR 虹札,11,現在の好印象値×割合の小数点以下切り上げが手札に表示される。実際はこのスキルカードで増やした好印象も計算対象になる。
開花,Default,A アクティブ,L ロジック,元気/体力,5,中間後,レッスン/試験中1回 重複不可,SSR 虹札,12,
開花+,Default,A アクティブ,L ロジック,元気/体力,5,中間後,レッスン/試験中1回 重複不可,SSR 虹札,12,
届いて！,Default,A アクティブ,L ロジック,体力,2,－,レッスン/試験中1回 重複不可,SSR 虹札,44,
テレビ出演,Default,M メンタル,F 共通,元気/体力,1,中間後,レッスン/試験中1回 重複不可,SSR 虹札,5,
叶えたい夢,Default,M メンタル,F 共通,体力,1,中間後,レッスン/試験中1回 重複不可,SSR 虹札,10,
アイドル魂,Default,M メンタル,F 共通,元気/体力,2,－,レッスン/試験中1回 重複不可,SSR 虹札,35,
仕切り直し,Default,M メンタル,F 共通,元気/体力,5,－,レッスン/試験中1回 重複不可,SSR 虹札,40,
国民的アイドル,Default,M メンタル,S センス,好調,1,中間後,レッスン/試験中1回 重複不可,SSR 虹札,25,
国民的アイドル+,Default,M メンタル,S センス,好調,1,中間後,レッスン/試験中1回 重複不可,SSR 虹札,25,
魅惑の視線,Default,M メンタル,S センス,集中,3,－,レッスン/試験中1回 重複不可,SSR 虹札,30,
魅惑の視線+,Default,M メンタル,S センス,集中,3,中間後,レッスン/試験中1回 重複不可,SSR 虹札,30,
鳴り止まない拍手,Default,M メンタル,S センス,元気/体力,5,－,レッスン/試験中1回 重複不可,SSR 虹札,38,
天真爛漫,Default,M メンタル,S センス,元気/体力,6,－,レッスン/試験中1回 重複不可,SSR 虹札,45,
私がスター,Default,M メンタル,L ロジック,好印象,2,中間後,レッスン/試験中1回 重複不可,SSR 虹札,25,
私がスター+,Default,M メンタル,L ロジック,好印象,2,中間後,レッスン/試験中1回 重複不可,SSR 虹札,25,
星屑センセーション,Default,M メンタル,L ロジック,やる気,3,中間後,レッスン/試験中1回 重複不可,SSR 虹札,30,
星屑センセーション+,Default,M メンタル,L ロジック,やる気,3,中間後,レッスン/試験中1回 重複不可,SSR 虹札,30,
ノートの端の決意,Default,M メンタル,L ロジック,元気/体力,4,－,レッスン/試験中1回 重複不可,SSR 虹札,37,
手書きのメッセージ,Default,M メンタル,L ロジック,好印象,2,－,レッスン/試験中1回 重複不可,SSR 虹札,39,
トキメキ,Default,M メンタル,L ロジック,元気/体力,10,－,レッスン/試験中1回 重複不可,SSR 虹札,42,
虹色ドリーマー,Default,M メンタル,L ロジック,元気/体力,9,－,レッスン/試験中1回 重複不可,SSR 虹札,45,
絶対に負けない,Idle,A アクティブ,S センス,元気/体力,6,無し,レッスン/試験中1回 重複不可,SSR 虹札,-,SSR [Fighting My Way] 花海咲季 固有スキル
それぞれの道,Idle,A アクティブ,S センス,元気/体力,7,無し,レッスン/試験中1回 重複不可,SSR 虹札,-,SSR [Luna say maybe] 月村手毬 固有スキル
盛装の華形,Idle,A アクティブ,S センス,元気/体力,5,無し,レッスン/試験中1回 重複不可,SSR 虹札,-,SSR [Fluorite] 有村麻央 固有スキル
距離感,Idle,M メンタル,S センス,元気/体力,4,無し,レッスン/試験中1回 重複不可,SSR 虹札,-,SSR [clumsy trick] 姫崎莉波 固有スキル
ワンモアステップ,Idle,A アクティブ,S センス,元気/体力,4,無し,レッスン/試験中1回 重複不可,SSR 虹札,-,SSR [Tame-Lie-One-Step] 紫雲清夏 固有スキル
よそ見はダメ♪,Idle,M メンタル,L ロジック,元気/体力,6,無し,レッスン/試験中1回 重複不可,SSR 虹札,-,SSR [世界一可愛い私] 藤田ことね 固有スキル
本気の趣味,Idle,M メンタル,L ロジック,元気/体力,0,無し,レッスン/試験中1回 重複不可,SSR 虹札,-,SSR [光景] 篠澤広 固有スキル
もう怖くないから,Idle,M メンタル,L ロジック,元気/体力,3,無し,レッスン/試験中1回 重複不可,SSR 虹札,-,SSR [白線] 葛城リーリヤ 固有スキル
お嬢様の晴れ舞台,Idle,A アクティブ,L ロジック,体力,4,無し,レッスン/試験中1回 重複不可,SSR 虹札,-,SSR [Wonder Scale] 倉本千奈 固有スキル
絡まる思い,Idle,M メンタル,L ロジック,元気/体力,8,無し,レッスン/試験中1回 重複不可,SSR 虹札,-,SSR [アイヴイ] 月村手毬 固有スキル
おっきなおにぎり,Idle,M メンタル,L ロジック,体力,3,無し,レッスン/試験中1回 重複不可,SSR 虹札,,SSR [The Rolling Riceball] 花海佑芽 固有スキル
花萌ゆ季節,Support,M メンタル,F 共通,元気/体力,4,無し,レッスン/試験中1回 重複不可,SSR 虹札,-,SSR [次の桜の季節には。] 固有スキル
陽だまりの生徒会室,Support,M メンタル,F 共通,元気/体力,3,無し,レッスン/試験中1回 重複不可,SSR 虹札,-,SSR [お疲れ様、千奈ちゃん。] 固有スキル
心のアルバム,Support,A アクティブ,F 共通,元気/体力,0,無し,レッスン/試験中1回 重複不可,SSR 虹札,-,SSR [おいしい顔、いただき〜！] 固有スキル
ティーパーティ,Support,M メンタル,F 共通,元気/体力,3,無し,レッスン/試験中1回 重複不可,SSR 虹札,-,SSR [可愛いと可愛いで可愛い！] 固有スキル
光のステージ,Support,M メンタル,F 共通,元気/体力,3,無し,レッスン/試験中1回 重複不可,SSR 虹札,-,SSR [まじか。] 固有スキル
新生徒会爆誕！,Support,M メンタル,F 共通,元気/体力,5,無し,レッスン/試験中1回 重複不可,SSR 虹札,-,SSR [仕事のつもりで臨みなさい] 固有スキル レッスン開始時手札に入る
薄れゆく壁,Support,M メンタル,F 共通,元気/体力,5,無し,レッスン/試験中1回 重複不可,SSR 虹札,-,SSR [第2回教室パーティー！] 固有スキル
みずたまりスキップ,Support,M メンタル,F 共通,体力,1,無し,レッスン/試験中1回 重複不可,SSR 虹札,,SSR [まだ上がりませんように！] 固有スキル
喧嘩するほど仲がいい,Support,M メンタル,S センス,元気/体力,6,無し,レッスン/試験中1回 重複不可,SSR 虹札,-,SSR [こいつらめんどくせー] 固有スキル
ダメダメクッキング,Support,M メンタル,L ロジック,元気/体力,7,無し,レッスン/試験中1回 重複不可,SSR 虹札,-,SSR [あたしたち、やればできる] 固有スキル