番号,スキルカード名,カードタイプ,プラン,パラメータ,強化後パラメータ,元気,強化後元気,やる気,強化後やる気,好印象,強化後好印象,集中,強化後集中,好調,強化後好調,絶好調,強化後絶好調,消費体力減少(ターン),強化後消費体力減少(ターン),体力回復,強化後体力回復,消費対象,消費,強化後消費,他効果,レアリティ,PLv,固有カード
47,決めポーズ,アクティブ,センス,18,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-3,-3,レッスン中1回/試験中1回,金札,-,-
48,アドリブ,アクティブ,センス,5,9,-,-,-,-,-,-,-,-,3,4,-,-,-,-,-,-,元気/体力,-4,-4,-,金札,-,-
49,情熱ターン,アクティブ,センス,11,18,-,-,-,-,-,-,3,4,-,-,-,-,-,-,-,-,元気/体力,-6,-6,-,金札,-,-
50,飛躍,アクティブ,センス,パラメータ+13 集中が6以上の場合、パラメータ+15,パラメータ+13 集中が6以上の場合、パラメータ+15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-5,-2,レッスン中1回/試験中1回,金札,6,-
51,祝福,アクティブ,センス,26,40,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,体力,-4,-4,レッスン中1回/試験中1回,金札,7,-
52,スタートダッシュ,アクティブ,センス,30,40,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-5,-5,消費体力増加2ターン/重複不可,金札,22,-
53,スタンドプレー,アクティブ,センス,12,12,7,7,-,-,-,-,5,7,-,-,-,-,-,-,-,-,元気/体力,-5,-5,消費体力増加2ターン/重複不可,金札,24,-
54,シュプレヒコール,アクティブ,センス,6,6,-,-,-,-,-,-,-,-,2,3,-,-,-,-,-,-,集中,-3,-2,スキルカード使用数追加+1/重複不可,金札,33,-
62,眼力,メンタル,センス,-,-,6,8,-,-,-,-,3,4,-,-,-,-,-,-,-,-,元気/体力,-3,-3,レッスン中1回/試験中1回,金札,-,-
63,大声援,メンタル,センス,-,-,6,8,-,-,-,-,-,-,3,4,-,-,-,-,-,-,元気/体力,-3,-3,レッスン中1回/試験中1回,金札,-,-
64,演出計画,メンタル,センス,-,-,-,-,-,-,-,-,-,-,-,-,3,4,-,-,-,-,元気/体力,-4,-4,以降、アクティブスキルカード使用時、固定元気+2/レッスン中1回/試験中1回/重複不可,金札,17,-
65,願いの力,メンタル,センス,-,-,-,-,-,-,-,-,集中+2 以降、アクティブスキルカード使用時、集中+1,集中+3 以降、アクティブスキルカード使用時、集中+2,-,-,-,-,-,-,-,-,元気/体力,-4,-4,レッスン中1回/試験中1回/重複不可,金札,18,-
66,静かな意志,メンタル,センス,-,-,-,-,-,-,-,-,3,4,2,3,-,-,-,-,-,-,元気/体力,-4,-4,レッスン中1回/試験中1回/レッスン開始時、手札に入る,金札,20,-
67,始まりの合図,メンタル,センス,-,-,-,-,-,-,-,-,-,-,5,7,-,-,-,-,-,-,元気/体力,-3,-3,レッスン中1回/試験中1回,金札,28,-
68,意地,メンタル,センス,-,-,3,5,-,-,-,-,4,5,-,-,-,-,-,-,-,-,元気/体力,-2,-2,レッスン中1回/試験中1回,金札,29,-
69,存在感,メンタル,センス,-,-,-,-,-,-,-,-,4,5,-,-,-,-,-,-,-,-,好調,-2,-1,スキルカード使用数追加+1/重複不可,金札,31,-
70,成功への道筋,メンタル,センス,-,-,2,4,-,-,-,-,7,9,-,-,-,-,-,-,-,-,好調,-2,-2,レッスン中1回/試験中1回,金札,36,-
81,一番は譲らない,アクティブ,センス,18,25,-,-,-,-,-,-,-,-,3,4,-,-,-,-,-,-,元気/体力,-6,-6,レッスン中1回/試験中1回/重複不可,金札,-,SR [わたしが一番！] 花海咲季 
82,ローン・ウルフ,アクティブ,センス,パラメータ+12 集中が3以上の場合、パラメータ+12,パラメータ+12 集中が3以上の場合、パラメータ+12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-5,-2,レッスン中1回/試験中1回/重複不可,金札,-,SR [一匹狼] 月村手毬 
83,らしさ,アクティブ,センス,4,6,-,-,-,-,-,-,好調状態の場合、集中+3,好調状態の場合、集中+4,-,-,-,-,-,-,-,-,元気/体力,0,0,レッスン中1回/試験中1回/重複不可,金札,-,SR [はじまりはカッコよく] 有村麻央 
84,寄り添う気持ち,メンタル,センス,-,-,10,12,-,-,-,-,4,5,-,-,-,-,-,-,-,-,元気/体力,-6,-6,レッスン中1回/試験中1回/重複不可,金札,-,SR [『私らしさ』のはじまり] 姫崎莉波 
85,勇気の一歩,アクティブ,センス,パラメータ+17 (集中効果を2倍適用),パラメータ+24(集中効果を2.5倍適用),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-3,-3,レッスン中1回/試験中1回/重複不可,金札,-,SR [夢へのリスタート] 紫雲清夏 
96,キメ顔で自撮り,メンタル,センス,-,-,-,-,-,-,-,-,2,4,3,4,-,-,-,-,-,-,元気/体力,-4,-4,体力が50%以上の場合、次のターン、スキルカードを引く/レッスン中1回/試験中1回/重複不可,金札,-,SR [パシャっとキメポ] 
13,軽い足取り,アクティブ,センス,6,9,-,-,-,-,-,-,-,-,2,3,-,-,-,-,-,-,元気/体力,-4,-4,-,青札,-,-
14,愛嬌,アクティブ,センス,13,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-4,-4,-,青札,-,-
15,準備運動,アクティブ,センス,6,9,-,-,-,-,-,-,2,3,-,-,-,-,-,-,-,-,元気/体力,-4,-4,-,青札,-,-
16,ファンサ,アクティブ,センス,10,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-2,-2,-,青札,2,-
17,勢い任せ,アクティブ,センス,6,9,-,-,-,-,-,-,好調状態の場合、集中+3,好調状態の場合、集中+4,-,-,-,-,-,-,-,-,元気/体力,-4,-4,-,青札,9,-
18,ハイタッチ,アクティブ,センス,パラメータ+17 (集中効果を1.5倍適用),パラメータ+23 (集中効果を2倍適用),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-4,-4,レッスン中1回/試験中1回,青札,13,-
19,トークタイム,アクティブ,センス,27,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-6,-6,好調状態の場合、使用可/レッスン中1回/試験中1回,青札,14,-
27,バランス感覚,メンタル,センス,-,-,-,1,-,-,-,-,3,4,-,-,-,-,-,-,-,-,元気/体力,-2,-2,-,青札,-,-
28,楽観的,メンタル,センス,-,-,-,-,-,-,-,-,好調状態の場合、集中+1,好調状態の場合、集中+1,3,4,-,-,-,-,-,-,元気/体力,-2,-2,-,青札,4,-
29,深呼吸,メンタル,センス,-,-,-,-,-,-,-,-,2,3,集中が3以上の場合、好調3ターン,集中が3以上の場合、好調3ターン,-,-,-,-,-,-,元気/体力,-3,-3,-,青札,19,-
36,新進気鋭,アクティブ,センス,17,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-5,-5,レッスン中1回/試験中1回/重複不可,青札,-,R [学園生活] 花海咲季 
37,意地っ張り,アクティブ,センス,7,7,-,-,-,-,-,-,3,5,-,-,-,-,-,-,-,-,元気/体力,-6,-6,レッスン中1回/試験中1回/重複不可,青札,-,R [学園生活] 月村手毬 
38,リトル・プリンス,アクティブ,センス,パラメータ+8 好調状態の場合、パラメータ+3,パラメータ+13 好調状態の場合、パラメータ+5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-3,-3,レッスン中1回/試験中1回/重複不可,青札,-,R [学園生活] 有村麻央 
39,包容力,アクティブ,センス,2,3,1,4,-,-,-,-,-,-,-,-,-,-,-,-,2,2,元気/体力,0,0,レッスン中1回/試験中1回/重複不可,青札,-,R [学園生活] 姫崎莉波 
40,フレンドリー,アクティブ,センス,パラメータ+10 集中が6以上の場合、パラメータ+10,パラメータ+12(2回),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-6,-6,レッスン中1回/試験中1回/重複不可,青札,-,R [学園生活] 紫雲清夏 
98,コール＆レスポンス,アクティブ,センス,パラメータ+15 集中が3以上の場合、パラメータ+15,パラメータ+15 集中が3以上の場合、パラメータ+16(集中効果を1.5倍適用),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-6,-6,レッスン中1回/試験中1回/重複不可,虹札,11,-
99,バズワード,アクティブ,センス,38,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-7,-7,好調状態の場合、使用可/重複不可,虹札,12,-
100,成就,アクティブ,センス,次のターン、パラメータ+32,次のターン、パラメータ+40,-,-,-,-,-,-,-,-,4,7,-,-,-,-,-,-,元気/体力,-10,-10,レッスン中1回/試験中1回/重複不可,虹札,41,-
101,魅惑のパフォーマンス,アクティブ,センス,次のターン、パラメータ+38,次のターン、パラメータ+47,-,-,-,-,-,-,-,-,-,-,2,3,-,-,-,-,元気/体力,-8,-8,レッスン中1回/試験中1回/重複不可,虹札,43,-
109,国民的アイドル,メンタル,センス,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,好調,-1,-1,次に使用するカードの効果をもう一回発動(一回)/レッスン中1回/試験中1回/重複不可,虹札,25,-
110,魅惑の視線,メンタル,センス,-,-,-,-,-,-,-,-,-,-,-,-,4,5,2,5,-,-,集中,-3,-3,スキルカード使用数追加+1/レッスン中1回/試験中1回/重複不可,虹札,30,-
111,鳴り止まない拍手,メンタル,センス,-,-,-,-,-,-,-,-,4,5,2,3,-,-,2,3,-,-,元気/体力,-5,-5,レッスン中1回/試験中1回/重複不可,虹札,38,-
112,天真爛漫,メンタル,センス,-,-,-,-,-,-,-,-,集中+1 以降、ターン終了時、集中が3以上の場合、集中+2,集中+1 以降、ターン終了時、集中が3以上の場合、集中+2,-,-,-,-,-,-,-,-,元気/体力,-6,-5,レッスン中1回/試験中1回/重複不可,虹札,45,-
119,絶対に負けない,アクティブ,センス,34,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-6,-6,レッスン中1回/試験中1回/重複不可,虹札,-,SSR [Fighting My Way] 花海咲季 
120,それぞれの道,アクティブ,センス,14,15,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,-,元気/体力,-7,-4,レッスン中1回/試験中1回/重複不可,虹札,-,SSR [Luna say maybe] 月村手毬 
121,盛装の華形,アクティブ,センス,パラメータ+12 好調状態の場合、パラメータ+14,パラメータ+18 好調状態の場合、パラメータ+20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-5,-5,レッスン中1回/試験中1回/重複不可,虹札,-,SSR [Fluorite] 有村麻央 
122,距離感,メンタル,センス,-,-,-,-,-,-,-,-,4,5,-,-,-,-,-,-,4,5,元気/体力,-4,-3,レッスン中1回/試験中1回/重複不可,虹札,-,SSR [clumsy trick] 姫崎莉波 
123,ワンモアステップ,アクティブ,センス,パラメータ+7(2回) 集中が6以上の場合、パラメータ+7,パラメータ+9(2回) 集中が6以上の場合、パラメータ+9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-4,-3,レッスン中1回/試験中1回/重複不可,虹札,-,SSR [Tame-Lie-One-Step] 紫雲清夏 
138,喧嘩するほど仲がいい,メンタル,センス,-,-,-,-,-,-,-,-,3,4,2,4,-,-,-,-,-,-,元気/体力,-6,-6,次のターン、手札をすべてレッスン強化/レッスン中1回/試験中1回/重複不可,虹札,-,SSR [こいつらめんどくせー] 
140,アドレナリン全開,メンタル,センス,-,-,-,-,-,-,-,-,-,-,3,4,4,5,-,-,-,-,元気/体力,-4,-4,レッスン中1回/試験中1回/重複不可,虹札,-,SSR【Yellow Big Bang！】
3,挑戦,アクティブ,センス,25,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-7,-7,好調状態の場合、使用可/レッスン中1回/試験中1回,白札,-,-
4,試行錯誤,アクティブ,センス,パラメータ+8(2回),パラメータ+10(2回),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-7,-5,レッスン中1回/試験中1回,白札,-,-
8,振る舞いの基本,メンタル,センス,-,-,1,1,-,-,-,-,-,-,2,3,-,-,-,-,-,-,元気/体力,-1,-1,-,白札,-,-
9,表情の基本,メンタル,センス,-,-,1,1,-,-,-,-,2,3,-,-,-,-,-,-,-,-,元気/体力,-1,-1,-,白札,-,-
55,ラブリーウインク,アクティブ,ロジック,好印象の60%パラメータ上昇,好印象の80%パラメータ上昇,-,-,-,-,4,5,-,-,-,-,-,-,-,-,-,-,元気/体力,-5,-5,-,金札,-,-
56,ありがとうの言葉,アクティブ,ロジック,元気の70%分パラメータ上昇,元気の40%分パラメータ上昇,9,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,体力,-3,-3,レッスン中1回/試験中1回,金札,-,-
57,ハートの合図,アクティブ,ロジック,元気を半分にして、減少前の元気の130%分パラメータ上昇,元気を半分にして、減少前の元気の180%分パラメータ上昇,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,体力,-3,-3,レッスン中1回/試験中1回,金札,6,-
58,キラメキ,アクティブ,ロジック,好印象の200%分パラメータ上昇,好印象の250%分パラメータ上昇,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-3,-3,消費体力増加2ターン/レッスン中1回/試験中1回/重複不可,金札,24,-
59,みんな大好き,アクティブ,ロジック,好印象の90%分パラメータ上昇,好印象の120%分パラメータ上昇,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,やる気,-3,-2,重複不可,金札,34,-
71,あふれる思い出,メンタル,ロジック,-,-,2,4,4,5,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-3,-3,-,金札,-,-
72,ふれあい,メンタル,ロジック,-,-,3,6,-,-,4,5,-,-,-,-,-,-,-,-,-,-,元気/体力,-5,-5,-,金札,-,-
73,幸せな時間,メンタル,ロジック,-,-,-,-,-,-,6,8,-,-,-,-,-,-,-,-,-,-,元気/体力,-5,-5,-,金札,7,-
74,ファンシーチャーム,メンタル,ロジック,-,-,-,-,-,-,好印象+3 以降、メンタルスキルカード使用時、好印象+2,好印象+5 以降、メンタルスキルカード使用時、好印象+3,-,-,-,-,-,-,-,-,-,-,元気/体力,-4,-4,レッスン中1回/試験中1回/重複不可,金札,17,-
75,ワクワクが止まらない,メンタル,ロジック,-,-,-,-,やる気+3 以降、メンタルスキルカード使用時、やる気+1,やる気+5 以降、メンタルスキルカード使用時、やる気+2,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-3,-3,レッスン中1回/試験中1回/重複不可,金札,18,-
76,本番前夜,メンタル,ロジック,-,-,-,-,3,4,4,5,-,-,-,-,-,-,-,-,-,-,元気/体力,-5,-5,レッスン中1回/試験中1回/レッスン開始時、手札に入る,金札,20,-
77,ひなたぼっこ,メンタル,ロジック,-,-,11,11,5,7,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,0,0,消費体力増加2ターン/レッスン中1回/試験中1回/重複不可,金札,22,-
78,イメトレ,メンタル,ロジック,-,-,7,11,4,5,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-4,-4,レッスン中1回/試験中1回,金札,28,-
79,やる気は満点,メンタル,ロジック,-,-,1,2,-,-,4,5,-,-,-,-,-,-,-,-,-,-,元気/体力,-1,-1,レッスン中1回/試験中1回,金札,29,-
